id,line,low_limit,norminal,process,product,site,soucrce,spc,station,up_limit
1,line_1,10,12,fqc,Stanford,RT,line_1,T1-135,Spline magnet loading force,14
2,line_1,13,15,fqc,Stanford,RT,line_1,T1-120,Spline magnet loading force,18.5
3,line_1,10,12,fqc,Stanford,RT,line_1,T2-135,Spline magnet loading force,14
4,line_1,13,15,fqc,Stanford,RT,line_1,T2-120,Spline magnet loading force,18.5
5,line_1,6.5,7,fqc,Stanford,RT,line_1,C1,Floor magnet loading force,8.5
6,line_1,6,7,fqc,Stanford,RT,line_1,C2,Floor magnet loading force,8
7,line_1,7.75,8.25,fqc,Stanford,RT,line_1,C3,Floor magnet loading force,10.25
8,line_1,8,9,fqc,Stanford,RT,line_1,C4,Floor magnet loading force,10.75
9,line_1,2.4,2.8,fqc,Stanford,RT,line_1,HSG Floor,Floor magnet loading force,3
10,line_1,0.7,0.9,fqc,Stanford,RT,line_1,OR1,Floor magnet loading force,1.2
11,line_1,0.6,0.8,fqc,Stanford,RT,line_1,OR2,Floor magnet loading force,1
12,line_1,2,2.5,fqc,Stanford,RT,line_1,B2,5G magnet loading force,2.9
13,line_1,2,2.5,fqc,Stanford,RT,line_1,B1,5G magnet loading force,2.9
14,line_1,4,4.8,fqc,Stanford,RT,line_1,B2+B1,5G magnet loading force,5.6
15,line_1,-0.08,0,fqc,Stanford,RT,line_1,SC_1,Scorpius cover to HSG Gap/offset/waviness,0
16,line_1,-0.08,0,fqc,Stanford,RT,line_1,SC_2,Scorpius cover to HSG Gap/offset/waviness,0
17,line_1,-0.08,0,fqc,Stanford,RT,line_1,SC_3,Scorpius cover to HSG Gap/offset/waviness,0
18,line_1,-0.08,0,fqc,Stanford,RT,line_1,SC_4,Scorpius cover to HSG Gap/offset/waviness,0
19,line_1,0,0,fqc,Stanford,RT,line_1,Cover,Scorpius cover to HSG Gap/offset/waviness,10
20,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR1,Orion_gap_offset,0.1
21,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR2,Orion_gap_offset,0.1
22,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR3,Orion_gap_offset,0.1
23,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR4,Orion_gap_offset,0.1
24,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR5,Orion_gap_offset,0.1
25,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR6,Orion_gap_offset,0.1
26,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR7,Orion_gap_offset,0.1
27,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR8,Orion_gap_offset,0.1
28,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR9,Orion_gap_offset,0.1
29,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR10,Orion_gap_offset,0.1
30,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR11,Orion_gap_offset,0.1
31,line_1,0,0.03,fqc,Stanford,RT,line_1,G-P OR12,Orion_gap_offset,0.1
32,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR1,Orion_gap_offset,0
33,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR2,Orion_gap_offset,0
34,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR3,Orion_gap_offset,0
35,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR4,Orion_gap_offset,0
36,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR5,Orion_gap_offset,0
37,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR6,Orion_gap_offset,0
38,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR7,Orion_gap_offset,0
39,line_1,-0.1,0,fqc,Stanford,RT,line_1,O-P OR8,Orion_gap_offset,0
